10;alg1;7136;-5.003785;-1.003167;10.819449
10;alg2;292;-5.003785;-1.003167;10.819449
10;alg3;299;-5.003785;-1.003167;10.819449
100;alg1;40132;-5.003785;-1.003167;10.819449
100;alg2;382;-5.003785;-1.003167;10.819449
100;alg3;515;-5.003785;-1.003167;10.819449
1000;alg1;467491;-5.003785;-1.003167;10.819449
1000;alg2;1282;-5.003785;-1.003167;10.819449
1000;alg3;2835;-5.003785;-1.003167;10.819449
10000;alg1;3985056;-5.003785;-1.003167;10.819449
10000;alg2;10282;-5.003785;-1.003167;10.819449
10000;alg3;25473;-5.003785;-1.003167;10.819449
