10;alg1;7384;-5.003785;-1.003167;10.819449
10;alg2;380;0.000792;2.994002;9.657176
10;alg3;389;0.000792;2.994002;9.657176
100;alg1;54207;-5.003785;-1.003167;10.819449
100;alg2;790;-5.003785;-1.003167;10.819449
100;alg3;565;0.000792;2.994002;9.657176
1000;alg1;624466;-5.003785;-1.003167;10.819449
1000;alg2;1690;-5.003785;-1.003167;10.819449
1000;alg3;3090;-5.060348;-0.786527;10.341150
10000;alg1;4125694;-5.003785;-1.003167;10.819449
10000;alg2;10690;-5.003785;-1.003167;10.819449
10000;alg3;26079;-5.017519;-0.988413;10.815382
