10;alg1;7728;-5.003785;-1.003167;10.819449
10;alg2;273;0.000792;2.994002;9.657176
10;alg3;308;0.000792;2.994002;9.657176
100;alg1;55603;-5.003785;-1.003167;10.819449
100;alg2;363;0.000792;2.994002;9.657176
100;alg3;472;0.000792;2.994002;9.657176
1000;alg1;408167;-5.003785;-1.003167;10.819449
1000;alg2;2307;-5.003785;-1.003167;10.819449
1000;alg3;3727;-5.179598;-1.005382;10.521518
10000;alg1;5157649;-5.003785;-1.003167;10.819449
10000;alg2;11307;-5.003785;-1.003167;10.819449
10000;alg3;29246;-5.125918;-1.028438;10.667434
