10;alg1;5893;-5.003785;-1.003167;10.819449
10;alg2;402;4.995332;0.001061;10.505162
10;alg3;406;4.995332;0.001061;10.505162
100;alg1;51649;-5.003785;-1.003167;10.819449
100;alg2;492;4.995332;0.001061;10.505162
100;alg3;548;4.995332;0.001061;10.505162
1000;alg1;501294;-5.003785;-1.003167;10.819449
1000;alg2;2543;-5.003785;-1.003167;10.819449
1000;alg3;2029;4.995332;0.001061;10.505162
10000;alg1;4018859;-5.003785;-1.003167;10.819449
10000;alg2;11543;-5.003785;-1.003167;10.819449
10000;alg3;29450;-5.047241;-0.958613;10.780809
