10;alg1;5257;-5.003785;-1.003167;10.819449
10;alg2;382;0.000792;2.994002;9.657176
10;alg3;435;0.000792;2.994002;9.657176
100;alg1;55613;-5.003785;-1.003167;10.819449
100;alg2;472;0.000792;2.994002;9.657176
100;alg3;705;0.000792;2.994002;9.657176
1000;alg1;505258;-5.003785;-1.003167;10.819449
1000;alg2;2777;-5.003785;-1.003167;10.819449
1000;alg3;6181;-5.112824;-0.992453;10.701342
10000;alg1;4022823;-5.003785;-1.003167;10.819449
10000;alg2;11777;-5.003785;-1.003167;10.819449
10000;alg3;44663;-4.962984;-0.939918;10.763388
